start,,
fabm,fabm2ab2,"0 55680 ""flew"" add p beginning or word"
fabm,fabm2ad2,"0 84600 ""extinct"" add n end of word"
fabm,fabm2ae2,"0 71640 ""california"" del p end of word"
fabm,fabm2ak2,"0 58920 ""scientists"" add n"
fabm,fabm2an2,"0 65760 ""put"" add n * ""plant"" del p end of word"
fabm,fabm2ao2,"0 84058 ""butteflies"" add n * ""butterflies lay"" add w between words"
fabm,fabm2ap2,"0 48720 ""a"" del w"
fabm,fabm2aq2,"0 59880 ""most"" del p end of word"
fabm,fabm2ar2,"0 102676 ""a few"" add w between words"
fabm,fabm2as2,"0 64680 ""insects"" del p middle of word"
fabm,fabm2au2,"0 83520 ""world"" del p end of word"
fabm,fabm2ax2,"0 79440 ""Nectar"" add n before word"
fabm,fabm2ay2,"0 73200 ""pollen"" sub w not in CMUDICT * ""another"" del p end of word"
fabm,fabm2az2,"0 72240 ""pollen"" sub w not in CMUDICT"
fabm,fabm2ba2,"0 43680 ""egg"" del p end of word"
fabm,fabm2bb2,"0 84960 ""lays tiny"" add p between words"
fabm,fabm2be2,"0 26760 ""the"" del w * ""caterpillar"" del p beginning of word * ""time"" del p end of word"
fabm,fabm2bf2,"0 107520 ""ists"" del p middle of word * ""eggshell"" sub w not in CMUDICT"
fabm,fabm2bg2,"0 78000 ""caterpillar"" del p end of word"
fabm,fabm2bi2,"0 61080 ""caterpillar"" del p end of word"
fabm,fabm2bj2,"0 74280 ""caterpillar"" add n middle of word * ""shell"" sub not in CMUDICT * ""around"" add p false start * ""pupa"" del p end of word"
fabm,fabm2bk2,"0 71520 ""inside"" add n middle of word"
fabm,fabm2bl2,"0 57120 ""the shell"" sub w replacement ""comes"" del w * ""out"" del w"
fabm,fabm2bn2,"0 36600 ""bright"" del p end of word"
fabm,fabm2bo2,"0 114318 ""or"" del p end of word * ""white"" del w"
fabm,fabm2bp2,"0 31800 ""Rwanda"" del w"
fabm,fabm2bq2,"0 60600 ""Africa"" del p end of word"
fabm,fabm2bs2,"0 71400 ""food"" del p end of word * ""and"" del p end of word * ""Rwanda"" del p end of word"
fabm,fabm2bt2,"0 48120 ""Africa"" del p end of word"
fabm,fabm2bw2,"0 53400 ""water"" del p end of word"
